ticket,sentiment,label
I've had an encounter where my data was displayed incorrectly. It would be appreciated if you could assist in resolving this issue promptly. Thank you for your attention to this matter.,Neutral,2
"I really enjoyed the great value and service I received from your company. The products were of excellent quality, and the delivery arrived quickly and efficiently. Keep up the good work!",Mild Positive,3
"I received a shipment with incorrect contents, but it's not a high priority for me right now. Can someone assist me in resolving this?",Neutral,2
"I'm thrilled to share that your service has exceeded my expectations. The level of proficiency and personalized attention I've received is exceptional. Your team has proven to be highly effective and efficient, leaving me feeling genuinely impressed. I appreciate the care and expertise you've provided, and I wholeheartedly recommend your services to",Strong Positive,4
I can't believe the lack of care and attention my purchase has received. It's been weeks and I have not heard a word about the status of my delivery. The communication and follow-up in this matter have been inexcusably poor. I demand a reliable update and action to be taken to rectify this situation immediately.,Strong Negative,0
"I recently had a positive experience with the services I received from {{Company Name}}. The team was professional and friendly, and their attention to detail improved my overall satisfaction. The experience was great and I appreciate the effort they put in for me. Keep up the good work, and I look forward to more positive interactions with {{Company Name}}",Mild Positive,3
"You've got the wrong idea about us. We are known for exceptional service, but today our team missed the mark. We apologize for the inconvenience this has caused you. How can we make things right and restore your confidence?",Mild Negative,1
Thank you so much for the exceptional service I received! Your team has been incredibly helpful with resolving my issue and I appreciate all the efforts they put into resolving it. I will definitely recommend your company to others and am grateful for the positive experience. Keep up the good work!,Strong Positive,4
Your experience so far has been slightly unsatisfactory.,Mild Negative,1
Your order is on the way! We are excited to fulfill your request and provide you with a wonderful experience. We appreciate your patience and look forward to delighting you as your order arrives.,Mild Positive,3
"Hello! I recently had a pleasant experience with your company. It was fantastic to receive such wonderful service. Your team went above and beyond to ensure my satisfaction, and I'm impressed with the attention to detail. I truly appreciate your commitment to me as a customer. Thank you for making my experience so delightful!",Mild Positive,3
"# {{Account Type}} Customer Sentiment

I'm thrilled to be a {{Account Type}} customer and I've truly been enjoying the benefits it offers. The exclusive features and perks have exceeded my expectations, making my experience with our company even more delightful. It's clear to me that your company prior",Strong Positive,4
"I am thoroughly impressed with the exceptional service I received from your team. They went above and beyond to assist me and ensure a delightful experience. It's clear that your company values its customers, and I am grateful for the attention and dedication provided. Thank you for making me feel valued and appreciated!",Strong Positive,4
